Player,Country,Matches,Field_Catches,Bat_Avg_T20,Strike_Rate_T20,Bowl_Avg_T20,Econ_T20,Bowl_Wkts_T20,Bat_Runs_T20,Bat_Avg_ODI,Strike_Rate_ODI,Bowl_Avg_ODI,Econ_ODI,Bowl_Wkts_ODI,Bat_Runs_ODI,Bat_Avg_Test,Strike_Rate_Test,Bowl_Avg_Test,Econ_Test,Bowl_Wkts_Test,Bat_Runs_Test,Bat_Avg_Overall,Bowl_Wkts_Overall,Avg_vs_International,Avg_vs_League,Avg_vs_Australia,Avg_vs_India,Avg_vs_England
AJ Healy,Australia,269,155,27.41,133.15,0.0,0.0,0.0,4989.0,44.06,97.05,0.0,0.0,0.0,2732.0,29.92,58.76,0.0,0.0,0.0,359.0,31.56,0.0,36.32,25.25,0.0,28.75,27.94
M Strano,Australia,107,26,13.5,103.12,22.02,6.92,114.0,297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,114.0,2.0,13.41,0.0,2.0,0.0
EA Perry,Australia,310,127,44.5,115.62,25.08,7.03,139.0,6542.0,45.28,78.04,27.51,4.24,37.0,1947.0,55.33,45.98,37.33,3.23,9.0,498.0,45.16,185.0,42.14,47.65,0.0,44.96,43.42
S Molineux,Australia,150,54,17.65,102.76,22.17,6.58,137.0,1377.0,12.0,81.36,17.29,3.89,31.0,96.0,24.25,53.3,24.86,2.26,7.0,97.0,17.44,175.0,11.95,19.12,0.0,5.5,19.75
LMM Tahuhu,New Zealand,205,35,12.04,117.96,23.34,6.33,140.0,578.0,12.23,100.37,25.24,4.73,68.0,269.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1,208.0,12.53,11.59,9.89,11.71,13.5
HNK Jensen,New Zealand,144,25,13.49,90.85,24.68,6.6,100.0,715.0,12.35,73.01,35.77,5.05,26.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,13.14,126.0,10.93,15.74,9.88,10.6,12.31
A Gardner,Australia,302,114,23.41,122.9,21.94,7.09,215.0,4073.0,37.05,104.37,22.13,4.28,92.0,1482.0,32.5,58.04,20.61,2.66,28.0,325.0,26.25,335.0,31.07,22.15,0.0,26.73,37.13
AE Satterthwaite,New Zealand,144,69,30.75,105.65,23.11,6.42,44.0,2675.0,41.81,77.39,33.57,5.88,7.0,1338.0,0.0,0.0,0.0,0.0,0.0,0.0,33.72,51.0,34.82,32.71,32.41,41.58,31.11
M Brown,Wellington,100,24,14.55,103.92,26.37,6.69,75.0,742.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.55,75.0,0.0,14.55,0.0,0.0,0.0
EA Burns,Australia,146,56,21.89,113.26,21.78,6.08,105.0,2452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.89,105.0,30.0,21.62,0.0,0.0,0.0
G Wareham,Australia,219,90,26.9,131.11,21.88,6.77,171.0,1614.0,26.0,104.84,28.28,4.44,47.0,260.0,2.0,18.18,40.0,3.64,1.0,2.0,26.42,219.0,20.12,30.07,0.0,14.83,27.8
AC Jayangani,Sri Lanka,266,80,29.51,111.03,22.47,6.68,139.0,5606.0,42.3,83.63,38.53,5.3,34.0,1946.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,173.0,36.66,27.1,44.75,33.59,21.07
SJ McGlashan,Sydney Sixers,27,9,15.47,101.73,0.0,0.0,0.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.47,0.0,0.0,15.47,0.0,0.0,0.0
D van Niekerk,South Africa,151,47,25.61,103.09,23.26,6.52,97.0,2433.0,58.09,74.48,27.83,3.23,18.0,639.0,0.0,0.0,0.0,0.0,0.0,0.0,28.98,115.0,41.65,23.0,12.0,32.0,51.0
M Kapp,South Africa,318,51,24.93,114.13,21.01,5.9,241.0,3490.0,47.59,90.62,24.46,4.06,91.0,1951.0,75.2,63.09,63.0,1.93,1.0,376.0,31.27,333.0,37.23,25.69,29.11,36.76,41.53
AR Reakes,Sydney Sixers,36,12,16.6,95.62,0.0,11.38,0.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,0.0,0.0,16.6,0.0,0.0,0.0
JE Duffin,Melbourne Renegades,49,23,30.66,113.88,0.0,0.0,0.0,1165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.66,0.0,0.0,30.66,0.0,0.0,0.0
SE Aley,Sydney Sixers,35,7,9.0,80.0,25.15,7.05,27.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,27.0,0.0,9.0,0.0,0.0,0.0
EJ Inglis,Melbourne Stars,20,10,7.5,79.88,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,7.5,0.0,0.0,0.0
CJ Koski,Melbourne Renegades,22,6,15.73,97.12,0.0,10.0,0.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.73,0.0,0.0,15.73,0.0,0.0,0.0
LG Smith,Sydney Sixers,88,28,17.05,89.74,22.22,6.62,65.0,341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.05,65.0,0.0,17.05,0.0,0.0,0.0
KJ Garth,Ireland,165,36,20.54,92.92,24.58,6.61,119.0,945.0,22.0,68.22,21.19,4.1,42.0,176.0,34.33,50.49,35.25,3.06,8.0,103.0,21.47,169.0,24.48,18.77,24.0,21.0,10.67
SW Bates,New Zealand,341,217,31.06,105.6,29.54,7.38,59.0,7393.0,35.45,75.38,43.12,5.19,8.0,1950.0,0.0,0.0,0.0,0.0,0.0,0.0,31.89,67.0,33.3,30.76,19.64,32.0,18.06
EA Osborne,Melbourne Stars,53,10,22.72,97.63,30.92,6.64,36.0,659.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.72,36.0,0.0,22.72,0.0,0.0,0.0
TT Beaumont,England,319,87,27.8,101.8,0.0,0.0,0.0,5533.0,42.09,76.14,0.0,0.0,0.0,3367.0,40.0,51.45,0.0,0.0,0.0,480.0,32.23,0.0,37.03,27.47,35.2,23.94,0.0
E Kearney,Melbourne Stars,5,0,9.0,75.0,131.0,8.36,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,9.0,0.0,0.0,0.0
